Symbol,MeanLogReturn,StdLogReturn,MinLogReturn,MaxLogReturn
BKCI,0.0013978556897112841,0.007997715452877592,-0.0167479276102068,0.0127770023703704
BKCYF,-0.0026566038654985214,0.009853868913682626,-0.0426731004174445,0.0
BKD,-0.0013042108416554997,0.02560085183771166,-0.0440749683188032,0.0623532136101624
BKDT,-0.0011612914405150954,0.026280840822338995,-0.0598144801082575,0.0890394525144272
BKE,-0.012884159463619815,0.03070163937989779,-0.0916800406128202,0.0242011730296991
BKEAF,-0.0009233838494029842,0.004024936885645188,-0.0175442931386567,0.0
BKEAY,-0.0017842957993035313,0.013808964410073041,-0.0350912867791389,0.0262023478391653
BKEM,-0.0012392607471124791,0.009189192808003177,-0.0225389873864742,0.0111036942864496
BKF,-0.0022963169672993106,0.011107538096413107,-0.0241484495448087,0.0183715662127612
BKFKF,0.003436302032957779,0.019855183860308,-0.0421486403713683,0.0589163694287819
BKFKY,-0.0004700221258179474,0.0020487789476685923,-0.008930420390541,0.0
BKFL,-0.00039131615554781053,0.0017057075770077492,-0.0074350069554084,0.0
